Designator,Mid X,Mid Y,Rotation,Layer
D1,38.1,-27.83125,90.0,bottom
D10,38.1,-46.89375,90.0,bottom
D100,180.975,-71.4375,0.0,bottom
D101,161.925,-71.4375,0.0,bottom
D102,142.875,-71.4375,0.0,bottom
D103,123.825,-71.4375,0.0,bottom
D104,104.775,-71.4375,0.0,bottom
D105,85.725,-71.4375,0.0,bottom
D106,66.675,-71.4375,0.0,bottom
D107,47.625,-71.4375,0.0,bottom
D108,28.575,-71.4375,0.0,bottom
D109,180.975,-90.4875,0.0,bottom
D11,57.15,-46.89375,90.0,bottom
D110,161.925,-90.4875,0.0,bottom
D111,142.875,-90.4875,0.0,bottom
D112,123.825,-90.4875,0.0,bottom
D113,104.775,-90.4875,0.0,bottom
D114,85.725,-90.4875,0.0,bottom
D115,66.675,-90.4875,0.0,bottom
D116,47.625,-90.4875,0.0,bottom
D117,28.575,-90.4875,0.0,bottom
D118,180.975,-109.5375,0.0,bottom
D119,161.60625,-109.5375,0.0,bottom
D12,76.2,-46.89375,90.0,bottom
D120,142.875,-109.5375,0.0,bottom
D121,123.825,-109.5375,0.0,bottom
D122,104.775,-109.5375,0.0,bottom
D123,85.725,-109.5375,0.0,bottom
D124,66.675,-109.5375,0.0,bottom
D125,47.625,-109.5375,0.0,bottom
D126,28.575,-109.5375,0.0,bottom
D127,180.975,-128.5875,0.0,bottom
D128,161.925,-128.5875,0.0,bottom
D129,142.875,-128.5875,0.0,bottom
D13,95.25,-46.89375,90.0,bottom
D130,123.825,-128.5875,0.0,bottom
D131,104.775,-128.5875,0.0,bottom
D132,85.725,-128.5875,0.0,bottom
D133,66.675,-128.5875,0.0,bottom
D134,47.625,-128.5875,0.0,bottom
D135,28.575,-128.5875,0.0,bottom
D136,180.975,-147.6375,0.0,bottom
D137,161.925,-147.6375,0.0,bottom
D138,142.875,-147.6375,0.0,bottom
D139,123.825,-147.6375,0.0,bottom
D14,114.3,-46.89375,90.0,bottom
D140,104.775,-147.6375,0.0,bottom
D141,85.725,-147.6375,0.0,bottom
D142,66.675,-147.6375,0.0,bottom
D143,47.625,-147.6375,0.0,bottom
D144,28.575,-147.6375,0.0,bottom
D145,180.975,-166.6875,0.0,bottom
D146,161.925,-166.6875,0.0,bottom
D147,142.875,-166.6875,0.0,bottom
D148,123.825,-166.6875,0.0,bottom
D149,104.775,-166.6875,0.0,bottom
D15,133.35,-46.89375,90.0,bottom
D150,85.725,-166.6875,0.0,bottom
D151,66.675,-166.6875,0.0,bottom
D152,47.625,-166.6875,0.0,bottom
D153,28.575,-166.6875,0.0,bottom
D154,180.975,-185.7375,0.0,bottom
D155,161.925,-185.7375,0.0,bottom
D156,142.875,-185.7375,0.0,bottom
D157,123.825,-185.7375,0.0,bottom
D158,104.775,-185.7375,0.0,bottom
D159,85.725,-185.7375,0.0,bottom
D16,152.4,-46.89375,90.0,bottom
D160,66.675,-185.7375,0.0,bottom
D161,47.625,-185.7375,0.0,bottom
D162,28.575,-185.7375,0.0,bottom
D17,171.45,-46.89375,90.0,bottom
D18,190.5,-47.625,90.0,bottom
D19,38.1,-65.96875,90.0,bottom
D2,57.15,-27.83125,90.0,bottom
D20,57.15,-65.96875,90.0,bottom
D21,76.2,-65.96875,90.0,bottom
D22,95.25,-65.96875,90.0,bottom
D23,114.3,-65.96875,90.0,bottom
D24,133.35,-65.96875,90.0,bottom
D25,152.4,-65.96875,90.0,bottom
D26,171.45,-65.96875,90.0,bottom
D27,190.5,-65.96875,90.0,bottom
D28,38.1,-85.01875,90.0,bottom
D29,57.15,-85.01875,90.0,bottom
D3,76.2,-27.83125,90.0,bottom
D30,76.2,-85.01875,90.0,bottom
D31,95.25,-85.01875,90.0,bottom
D32,114.3,-85.01875,90.0,bottom
D33,133.35,-85.01875,90.0,bottom
D34,152.4,-85.01875,90.0,bottom
D35,171.45,-85.01875,90.0,bottom
D36,190.5,-85.01875,90.0,bottom
D37,38.1,-103.4125,90.0,bottom
D38,57.15,-103.4125,90.0,bottom
D39,76.2,-103.4125,90.0,bottom
D4,95.25,-27.83125,90.0,bottom
D40,95.25,-103.4125,90.0,bottom
D41,114.3,-103.4125,90.0,bottom
D42,133.35,-103.4125,90.0,bottom
D43,152.4,-103.4125,90.0,bottom
D44,171.45,-103.4125,90.0,bottom
D45,190.5,-103.4125,90.0,bottom
D46,38.1,-122.4625,90.0,bottom
D47,57.15,-122.4625,90.0,bottom
D48,76.2,-122.4625,90.0,bottom
D49,95.25,-122.4625,90.0,bottom
D5,114.3,-27.83125,90.0,bottom
D50,114.3,-122.4625,90.0,bottom
D51,133.35,-122.4625,90.0,bottom
D52,152.4,-122.4625,90.0,bottom
D53,171.45,-122.4625,90.0,bottom
D54,190.5,-122.4625,90.0,bottom
D55,38.1,-142.20625,90.0,bottom
D56,57.15,-142.20625,90.0,bottom
D57,76.2,-142.20625,90.0,bottom
D58,95.25,-142.20625,90.0,bottom
D59,114.3,-142.20625,90.0,bottom
D6,133.35,-27.83125,90.0,bottom
D60,133.35,-142.20625,90.0,bottom
D61,152.4,-142.20625,90.0,bottom
D62,171.45,-142.20625,90.0,bottom
D63,190.5,-142.20625,90.0,bottom
D64,38.1,-161.25625,90.0,bottom
D65,57.15,-161.25625,90.0,bottom
D66,76.2,-161.25625,90.0,bottom
D67,95.25,-161.25625,90.0,bottom
D68,114.3,-161.25625,90.0,bottom
D69,133.35,-161.25625,90.0,bottom
D7,152.4,-27.83125,90.0,bottom
D70,152.4,-161.25625,90.0,bottom
D71,171.45,-161.25625,90.0,bottom
D72,190.5,-161.25625,90.0,bottom
D73,38.1,-180.30625,90.0,bottom
D74,57.15,-180.30625,90.0,bottom
D75,76.2,-180.30625,90.0,bottom
D76,95.25,-180.30625,90.0,bottom
D77,114.3,-180.30625,90.0,bottom
D78,133.35,-180.30625,90.0,bottom
D79,152.4,-180.30625,90.0,bottom
D8,171.45,-27.83125,90.0,bottom
D80,171.45,-180.30625,90.0,bottom
D81,190.5,-180.30625,90.0,bottom
D82,180.975,-33.3375,0.0,bottom
D83,161.925,-33.3375,0.0,bottom
D84,142.875,-33.3375,0.0,bottom
D85,123.825,-33.3375,0.0,bottom
D86,104.775,-33.3375,0.0,bottom
D87,85.725,-33.3375,0.0,bottom
D88,66.675,-33.3375,0.0,bottom
D89,47.625,-33.3375,0.0,bottom
D9,190.5,-27.83125,90.0,bottom
D90,28.575,-33.3375,0.0,bottom
D91,180.975,-52.3875,0.0,bottom
D92,161.925,-52.3875,0.0,bottom
D93,142.55625,-52.3875,0.0,bottom
D94,123.825,-52.3875,0.0,bottom
D95,104.775,-52.3875,0.0,bottom
D96,85.725,-52.3875,0.0,bottom
D97,66.675,-52.3875,0.0,bottom
D98,47.625,-52.3875,0.0,bottom
D99,28.575,-52.3875,0.0,bottom
S1,28.575,-26.41,0.0,top
S10,28.575,-45.46,0.0,top
S11,47.625,-45.46,0.0,top
S12,66.675,-45.46,0.0,top
S13,85.725,-45.46,0.0,top
S14,104.775,-45.46,0.0,top
S15,123.825,-45.46,0.0,top
S16,142.875,-45.46,0.0,top
